State,Name,Total Population,Median Age,Median Household Income Per Year (Dollars),Income Per Capita Per Year (Dollars),Percentage of People Living in Poverty,Percentage of Unemployed,Percentage of People Who Completed No Schooling (25+),Percentage of People with High School Degree (25+),Percentage of People with GED (25+),Percentage of People with Associates Degree (25+),Percentage of People with Bachelors Degree (25+),Percentage of People with Masters Degree (25+),Percentage of People with Professional Degree (25+),Percentage of People with Doctoral Degree (25+),Percentage of People of European American Origin,Percentage of People of African American Origin,Percentage of People of Native American Origin,Percentage of People of Asian Origin,Percentage of People of Pacific Islander Origin,Percentage of People of Hispanic Origin,Percentage of People of Multiethnic Origin
31,Nebraska,1841625.0,36.3,51672.0,26899.0,12.423213194868662,3.1236000814498066,0.5786194257788637,16.05592886716894,2.210167650851829,6.198927577547003,12.53420213126994,4.146175252833775,1.1004411864521824,0.7516731147763525,88.19993212516121,4.5735695377723475,0.8909522839883255,1.8540147967148577,0.06809203828140907,9.442910473087625,2.1683567501527183
32,Nevada,2730066.0,36.6,52800.0,26589.0,14.773049442760724,6.415302780225826,0.8859492774167363,16.583738268598637,2.5420997148054294,4.99910991162851,9.84606232962866,3.4690736414431003,1.049242032976492,0.5119290156355195,71.3831826776349,8.220460604249128,1.0785819829996783,7.404839296925422,0.6168715335087137,26.88934992780394,3.9660213342827606
33,New Hampshire,1319171.0,41.5,64916.0,33134.0,8.403686860914924,3.916853842299444,0.4178381726099194,17.562393351582166,2.746800831734476,6.669264257628465,14.739484115402778,6.41296693150471,1.2037863173159506,0.9592387946672569,94.02905309470873,1.2137167963819702,0.19618381544166752,2.223896674502396,0.016222309313955505,2.9425298160738826,1.6547513552071718
34,New Jersey,8832406.0,39.1,71629.0,36027.0,10.196349669614373,5.345021503766924,0.823241141768166,18.015453546859145,1.7258038183480244,4.249114001326479,15.128595764279856,6.625838984303938,1.6360887395801327,0.9703131853313809,69.16330612519397,13.560891562276462,0.23189604282230686,8.566952198528917,0.029550272032331848,18.154849312859938,2.459839368797132
35,New Mexico,2069706.0,36.7,44927.0,23763.0,19.99322609104868,4.547070936645108,0.9195025766944677,14.339041390419702,2.8642715438811117,4.911808730322084,9.591748779778383,5.016364643094237,1.0524683215877038,1.1374562377458441,73.00974148019091,2.038743666974923,9.177776940299735,1.3544918940177977,0.07136279258986541,46.68624432648888,3.0737698977535937
36,New York,19487053.0,38.1,58003.0,32382.0,14.902109621193107,4.729329776031296,1.1760885547958433,15.888261811573049,2.515798566360958,5.7134036634477265,12.783985346578572,6.9637979637044145,1.8337097969610898,0.9283240518717736,65.57854591969345,15.611144486547044,0.3732734754711243,7.59132743160292,0.03779432426237051,17.89948947129153,2.619323712005094
37,North Carolina,9651380.0,37.6,46334.0,25284.0,17.027502802708007,5.464814358153963,0.8334352185905021,15.064073738677786,2.8932753658026105,5.771754920021801,11.961512239700436,4.3539783947995,0.9995669013135946,0.7902186008632963,69.70702635270811,21.434509883560693,1.1576893667019639,2.293889578485149,0.05584693587859975,8.54663270951926,2.268432079143086
38,North Dakota,689781.0,36.4,53741.0,29732.0,11.515683963460868,1.8291312749988766,0.3673629746252796,15.309496782312069,2.405546108112575,8.310608729437314,12.826679772275549,3.403109102744204,0.8875280705035367,0.648031766604183,89.6078610457522,1.3443397252171343,5.314585353902181,1.0672952719776276,0.04813121845919212,2.3274053648911757,1.9609122315633511
39,Ohio,11549590.0,39.0,48308.0,26046.0,15.358579828374861,5.047391292677922,0.5683318628626643,20.713514505709725,2.561467549930344,5.2630526278422005,10.630844904451154,4.511891764123228,1.0605051781058896,0.6671405651629192,82.85515762897211,12.146725554759954,0.17930506624044665,1.7437328944144337,0.020797275054785493,3.1810133519891184,2.2425384797209253
40,Oklahoma,3785742.0,36.2,45339.0,24208.0,16.342450172251567,3.3769337688622203,0.5657015190152948,17.423664898453197,3.2526780747340944,4.54323089106442,10.245943859882686,3.5765247605357153,0.8864312465033275,0.5709844992078171,73.52875605363492,7.222388636098287,7.039808840644714,1.8004660645125843,0.11313502082286643,9.11681250333488,7.7653469253847724
