,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
47979,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,18
47980,CO,COLORADO,SMALLPOX,0,0.0,1947,18
47981,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,18
47982,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,18
47983,DE,DELAWARE,SMALLPOX,0,0.0,1947,18
47984,FL,FLORIDA,SMALLPOX,0,0.0,1947,18
47985,GA,GEORGIA,SMALLPOX,0,0.0,1947,18
47986,IA,IOWA,SMALLPOX,0,0.0,1947,18
47987,ID,IDAHO,SMALLPOX,0,0.0,1947,18
47988,IL,ILLINOIS,SMALLPOX,0,0.0,1947,18
47989,IN,INDIANA,SMALLPOX,1,0.03,1947,18
47990,KS,KANSAS,SMALLPOX,0,0.0,1947,18
47991,KY,KENTUCKY,SMALLPOX,2,0.07,1947,18
47992,LA,LOUISIANA,SMALLPOX,0,0.0,1947,18
47993,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,18
47994,MD,MARYLAND,SMALLPOX,0,0.0,1947,18
47995,ME,MAINE,SMALLPOX,0,0.0,1947,18
47996,MI,MICHIGAN,SMALLPOX,0,0.0,1947,18
47997,MN,MINNESOTA,SMALLPOX,0,0.0,1947,18
47998,MO,MISSOURI,SMALLPOX,0,0.0,1947,18
47999,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,18
48000,MT,MONTANA,SMALLPOX,0,0.0,1947,18
48001,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,18
48002,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,18
48003,NE,NEBRASKA,SMALLPOX,0,0.0,1947,18
48004,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,18
48005,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,18
48006,NM,NEW MEXICO,SMALLPOX,1,0.17,1947,18
48007,NV,NEVADA,SMALLPOX,0,0.0,1947,18
48008,NY,NEW YORK,SMALLPOX,2,0.01,1947,18
48009,OH,OHIO,SMALLPOX,0,0.0,1947,18
48010,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,18
48011,OR,OREGON,SMALLPOX,0,0.0,1947,18
48012,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,18
48013,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,18
48014,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,18
48015,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,18
48016,TN,TENNESSEE,SMALLPOX,0,0.0,1947,18
48017,TX,TEXAS,SMALLPOX,0,0.0,1947,18
48018,UT,UTAH,SMALLPOX,0,0.0,1947,18
48019,VA,VIRGINIA,SMALLPOX,0,0.0,1947,18
48020,VT,VERMONT,SMALLPOX,0,0.0,1947,18
48021,WA,WASHINGTON,SMALLPOX,0,0.0,1947,18
48022,WI,WISCONSIN,SMALLPOX,3,0.09,1947,18
48023,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,18
48024,WY,WYOMING,SMALLPOX,0,0.0,1947,18
48025,AL,ALABAMA,SMALLPOX,0,0.0,1947,19
48026,AR,ARKANSAS,SMALLPOX,0,0.0,1947,19
48027,AZ,ARIZONA,SMALLPOX,0,0.0,1947,19
48028,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,19
48029,CO,COLORADO,SMALLPOX,0,0.0,1947,19
48030,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,19
48031,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,19
48032,DE,DELAWARE,SMALLPOX,0,0.0,1947,19
48033,FL,FLORIDA,SMALLPOX,0,0.0,1947,19
48034,GA,GEORGIA,SMALLPOX,0,0.0,1947,19
48035,IA,IOWA,SMALLPOX,0,0.0,1947,19
48036,ID,IDAHO,SMALLPOX,0,0.0,1947,19
48037,IL,ILLINOIS,SMALLPOX,0,0.0,1947,19
48038,IN,INDIANA,SMALLPOX,1,0.03,1947,19
48039,KS,KANSAS,SMALLPOX,0,0.0,1947,19
48040,KY,KENTUCKY,SMALLPOX,0,0.0,1947,19
48041,LA,LOUISIANA,SMALLPOX,0,0.0,1947,19
48042,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,19
48043,MD,MARYLAND,SMALLPOX,0,0.0,1947,19
48044,ME,MAINE,SMALLPOX,0,0.0,1947,19
48045,MI,MICHIGAN,SMALLPOX,0,0.0,1947,19
48046,MN,MINNESOTA,SMALLPOX,0,0.0,1947,19
48047,MO,MISSOURI,SMALLPOX,2,0.05,1947,19
48048,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,19
48049,MT,MONTANA,SMALLPOX,0,0.0,1947,19
48050,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,19
48051,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,19
48052,NE,NEBRASKA,SMALLPOX,0,0.0,1947,19
48053,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,19
48054,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,19
48055,NM,NEW MEXICO,SMALLPOX,2,0.34,1947,19
48056,NV,NEVADA,SMALLPOX,0,0.0,1947,19
48057,NY,NEW YORK,SMALLPOX,0,0.0,1947,19
48058,OH,OHIO,SMALLPOX,0,0.0,1947,19
48059,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,19
48060,OR,OREGON,SMALLPOX,0,0.0,1947,19
48061,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,19
48062,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,19
48063,SC,SOUTH CAROLINA,SMALLPOX,1,0.05,1947,19
48064,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,19
48065,TN,TENNESSEE,SMALLPOX,0,0.0,1947,19
48066,TX,TEXAS,SMALLPOX,0,0.0,1947,19
48067,UT,UTAH,SMALLPOX,0,0.0,1947,19
48068,VA,VIRGINIA,SMALLPOX,0,0.0,1947,19
48069,VT,VERMONT,SMALLPOX,0,0.0,1947,19
48070,WA,WASHINGTON,SMALLPOX,0,0.0,1947,19
48071,WI,WISCONSIN,SMALLPOX,1,0.03,1947,19
48072,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,19
48073,WY,WYOMING,SMALLPOX,0,0.0,1947,19
48074,AL,ALABAMA,SMALLPOX,0,0.0,1947,20
48075,AR,ARKANSAS,SMALLPOX,0,0.0,1947,20
48076,AZ,ARIZONA,SMALLPOX,0,0.0,1947,20
48077,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,20
48078,CO,COLORADO,SMALLPOX,0,0.0,1947,20
48079,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,20
48080,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,20
48081,DE,DELAWARE,SMALLPOX,0,0.0,1947,20
48082,FL,FLORIDA,SMALLPOX,0,0.0,1947,20
48083,GA,GEORGIA,SMALLPOX,0,0.0,1947,20
48084,IA,IOWA,SMALLPOX,1,0.04,1947,20
48085,ID,IDAHO,SMALLPOX,1,0.19,1947,20
48086,IL,ILLINOIS,SMALLPOX,0,0.0,1947,20
48087,IN,INDIANA,SMALLPOX,3,0.08,1947,20
48088,KS,KANSAS,SMALLPOX,0,0.0,1947,20
48089,KY,KENTUCKY,SMALLPOX,0,0.0,1947,20
48090,LA,LOUISIANA,SMALLPOX,0,0.0,1947,20
48091,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,20
48092,MD,MARYLAND,SMALLPOX,0,0.0,1947,20
48093,ME,MAINE,SMALLPOX,0,0.0,1947,20
48094,MI,MICHIGAN,SMALLPOX,0,0.0,1947,20
48095,MN,MINNESOTA,SMALLPOX,0,0.0,1947,20
48096,MO,MISSOURI,SMALLPOX,0,0.0,1947,20
48097,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,20
48098,MT,MONTANA,SMALLPOX,0,0.0,1947,20
48099,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,20
48100,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,20
48101,NE,NEBRASKA,SMALLPOX,0,0.0,1947,20
48102,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,20
48103,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,20
48104,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,20
48105,NV,NEVADA,SMALLPOX,0,0.0,1947,20
48106,NY,NEW YORK,SMALLPOX,0,0.0,1947,20
48107,OH,OHIO,SMALLPOX,1,0.01,1947,20
48108,OK,OKLAHOMA,SMALLPOX,1,0.05,1947,20
48109,OR,OREGON,SMALLPOX,0,0.0,1947,20
48110,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,20
48111,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,20
48112,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,20
48113,SD,SOUTH DAKOTA,SMALLPOX,1,0.17,1947,20
48114,TN,TENNESSEE,SMALLPOX,0,0.0,1947,20
48115,TX,TEXAS,SMALLPOX,0,0.0,1947,20
48116,UT,UTAH,SMALLPOX,0,0.0,1947,20
48117,VA,VIRGINIA,SMALLPOX,0,0.0,1947,20
48118,VT,VERMONT,SMALLPOX,0,0.0,1947,20
48119,WA,WASHINGTON,SMALLPOX,0,0.0,1947,20
48120,WI,WISCONSIN,SMALLPOX,1,0.03,1947,20
48121,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,20
48122,WY,WYOMING,SMALLPOX,0,0.0,1947,20
48123,AL,ALABAMA,SMALLPOX,0,0.0,1947,21
48124,AR,ARKANSAS,SMALLPOX,0,0.0,1947,21
48125,AZ,ARIZONA,SMALLPOX,0,0.0,1947,21
48126,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,21
48127,CO,COLORADO,SMALLPOX,0,0.0,1947,21
48128,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,21
48129,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,21
48130,DE,DELAWARE,SMALLPOX,0,0.0,1947,21
48131,FL,FLORIDA,SMALLPOX,0,0.0,1947,21
48132,GA,GEORGIA,SMALLPOX,1,0.03,1947,21
