,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
47442,CO,COLORADO,SMALLPOX,0,0.0,1947,07
47443,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,07
47444,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,07
47445,DE,DELAWARE,SMALLPOX,0,0.0,1947,07
47446,FL,FLORIDA,SMALLPOX,0,0.0,1947,07
47447,GA,GEORGIA,SMALLPOX,0,0.0,1947,07
47448,IA,IOWA,SMALLPOX,0,0.0,1947,07
47449,ID,IDAHO,SMALLPOX,0,0.0,1947,07
47450,IL,ILLINOIS,SMALLPOX,0,0.0,1947,07
47451,IN,INDIANA,SMALLPOX,1,0.03,1947,07
47452,KS,KANSAS,SMALLPOX,0,0.0,1947,07
47453,KY,KENTUCKY,SMALLPOX,0,0.0,1947,07
47454,LA,LOUISIANA,SMALLPOX,0,0.0,1947,07
47455,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,07
47456,MD,MARYLAND,SMALLPOX,0,0.0,1947,07
47457,ME,MAINE,SMALLPOX,0,0.0,1947,07
47458,MI,MICHIGAN,SMALLPOX,0,0.0,1947,07
47459,MN,MINNESOTA,SMALLPOX,0,0.0,1947,07
47460,MO,MISSOURI,SMALLPOX,0,0.0,1947,07
47461,MS,MISSISSIPPI,SMALLPOX,1,0.05,1947,07
47462,MT,MONTANA,SMALLPOX,0,0.0,1947,07
47463,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,07
47464,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,07
47465,NE,NEBRASKA,SMALLPOX,1,0.08,1947,07
47466,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,07
47467,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,07
47468,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,07
47469,NV,NEVADA,SMALLPOX,0,0.0,1947,07
47470,NY,NEW YORK,SMALLPOX,0,0.0,1947,07
47471,OH,OHIO,SMALLPOX,0,0.0,1947,07
47472,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,07
47473,OR,OREGON,SMALLPOX,0,0.0,1947,07
47474,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,07
47475,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,07
47476,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,07
47477,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,07
47478,TN,TENNESSEE,SMALLPOX,0,0.0,1947,07
47479,TX,TEXAS,SMALLPOX,0,0.0,1947,07
47480,UT,UTAH,SMALLPOX,0,0.0,1947,07
47481,VA,VIRGINIA,SMALLPOX,0,0.0,1947,07
47482,VT,VERMONT,SMALLPOX,0,0.0,1947,07
47483,WA,WASHINGTON,SMALLPOX,0,0.0,1947,07
47484,WI,WISCONSIN,SMALLPOX,0,0.0,1947,07
47485,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,07
47486,WY,WYOMING,SMALLPOX,0,0.0,1947,07
47487,AL,ALABAMA,SMALLPOX,1,0.03,1947,08
47488,AR,ARKANSAS,SMALLPOX,0,0.0,1947,08
47489,AZ,ARIZONA,SMALLPOX,0,0.0,1947,08
47490,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,08
47491,CO,COLORADO,SMALLPOX,0,0.0,1947,08
47492,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,08
47493,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,08
47494,DE,DELAWARE,SMALLPOX,0,0.0,1947,08
47495,FL,FLORIDA,SMALLPOX,0,0.0,1947,08
47496,GA,GEORGIA,SMALLPOX,0,0.0,1947,08
47497,IA,IOWA,SMALLPOX,0,0.0,1947,08
47498,ID,IDAHO,SMALLPOX,0,0.0,1947,08
47499,IL,ILLINOIS,SMALLPOX,0,0.0,1947,08
47500,IN,INDIANA,SMALLPOX,0,0.0,1947,08
47501,KS,KANSAS,SMALLPOX,0,0.0,1947,08
47502,KY,KENTUCKY,SMALLPOX,1,0.04,1947,08
47503,LA,LOUISIANA,SMALLPOX,0,0.0,1947,08
47504,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,08
47505,MD,MARYLAND,SMALLPOX,0,0.0,1947,08
47506,ME,MAINE,SMALLPOX,0,0.0,1947,08
47507,MI,MICHIGAN,SMALLPOX,0,0.0,1947,08
47508,MN,MINNESOTA,SMALLPOX,0,0.0,1947,08
47509,MO,MISSOURI,SMALLPOX,0,0.0,1947,08
47510,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,08
47511,MT,MONTANA,SMALLPOX,0,0.0,1947,08
47512,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,08
47513,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,08
47514,NE,NEBRASKA,SMALLPOX,0,0.0,1947,08
47515,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,08
47516,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,08
47517,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,08
47518,NV,NEVADA,SMALLPOX,0,0.0,1947,08
47519,NY,NEW YORK,SMALLPOX,0,0.0,1947,08
47520,OH,OHIO,SMALLPOX,0,0.0,1947,08
47521,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,08
47522,OR,OREGON,SMALLPOX,0,0.0,1947,08
47523,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,08
47524,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,08
47525,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,08
47526,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,08
47527,TN,TENNESSEE,SMALLPOX,0,0.0,1947,08
47528,TX,TEXAS,SMALLPOX,1,0.01,1947,08
47529,UT,UTAH,SMALLPOX,0,0.0,1947,08
47530,VA,VIRGINIA,SMALLPOX,0,0.0,1947,08
47531,VT,VERMONT,SMALLPOX,0,0.0,1947,08
47532,WA,WASHINGTON,SMALLPOX,0,0.0,1947,08
47533,WI,WISCONSIN,SMALLPOX,0,0.0,1947,08
47534,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,08
47535,WY,WYOMING,SMALLPOX,0,0.0,1947,08
47536,AL,ALABAMA,SMALLPOX,0,0.0,1947,09
47537,AR,ARKANSAS,SMALLPOX,0,0.0,1947,09
47538,AZ,ARIZONA,SMALLPOX,0,0.0,1947,09
47539,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,09
47540,CO,COLORADO,SMALLPOX,0,0.0,1947,09
47541,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,09
47542,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,09
47543,DE,DELAWARE,SMALLPOX,0,0.0,1947,09
47544,FL,FLORIDA,SMALLPOX,0,0.0,1947,09
47545,GA,GEORGIA,SMALLPOX,0,0.0,1947,09
47546,IA,IOWA,SMALLPOX,0,0.0,1947,09
47547,ID,IDAHO,SMALLPOX,0,0.0,1947,09
47548,IL,ILLINOIS,SMALLPOX,0,0.0,1947,09
47549,IN,INDIANA,SMALLPOX,0,0.0,1947,09
47550,KS,KANSAS,SMALLPOX,0,0.0,1947,09
47551,KY,KENTUCKY,SMALLPOX,0,0.0,1947,09
47552,LA,LOUISIANA,SMALLPOX,0,0.0,1947,09
47553,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,09
47554,MD,MARYLAND,SMALLPOX,0,0.0,1947,09
47555,ME,MAINE,SMALLPOX,0,0.0,1947,09
47556,MI,MICHIGAN,SMALLPOX,0,0.0,1947,09
47557,MN,MINNESOTA,SMALLPOX,0,0.0,1947,09
47558,MO,MISSOURI,SMALLPOX,0,0.0,1947,09
47559,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,09
47560,MT,MONTANA,SMALLPOX,0,0.0,1947,09
47561,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,09
47562,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,09
47563,NE,NEBRASKA,SMALLPOX,0,0.0,1947,09
47564,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,09
47565,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,09
47566,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,09
47567,NV,NEVADA,SMALLPOX,0,0.0,1947,09
47568,NY,NEW YORK,SMALLPOX,0,0.0,1947,09
47569,OH,OHIO,SMALLPOX,0,0.0,1947,09
47570,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,09
47571,OR,OREGON,SMALLPOX,0,0.0,1947,09
47572,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,09
47573,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,09
47574,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,09
47575,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,09
47576,TN,TENNESSEE,SMALLPOX,1,0.03,1947,09
47577,TX,TEXAS,SMALLPOX,0,0.0,1947,09
47578,UT,UTAH,SMALLPOX,0,0.0,1947,09
47579,VA,VIRGINIA,SMALLPOX,0,0.0,1947,09
47580,VT,VERMONT,SMALLPOX,0,0.0,1947,09
47581,WA,WASHINGTON,SMALLPOX,0,0.0,1947,09
47582,WI,WISCONSIN,SMALLPOX,0,0.0,1947,09
47583,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,09
47584,WY,WYOMING,SMALLPOX,0,0.0,1947,09
47585,AL,ALABAMA,SMALLPOX,0,0.0,1947,10
47586,AR,ARKANSAS,SMALLPOX,1,0.05,1947,10
47587,AZ,ARIZONA,SMALLPOX,0,0.0,1947,10
47588,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,10
47589,CO,COLORADO,SMALLPOX,0,0.0,1947,10
47590,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,10
47591,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,10
47592,DE,DELAWARE,SMALLPOX,0,0.0,1947,10
47593,FL,FLORIDA,SMALLPOX,0,0.0,1947,10
47594,GA,GEORGIA,SMALLPOX,1,0.03,1947,10
47595,IA,IOWA,SMALLPOX,0,0.0,1947,10
47596,ID,IDAHO,SMALLPOX,0,0.0,1947,10
47597,IL,ILLINOIS,SMALLPOX,1,0.01,1947,10
47598,IN,INDIANA,SMALLPOX,0,0.0,1947,10
47599,KS,KANSAS,SMALLPOX,5,0.27,1947,10
47600,KY,KENTUCKY,SMALLPOX,0,0.0,1947,10
47601,LA,LOUISIANA,SMALLPOX,0,0.0,1947,10
47602,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,10
47603,MD,MARYLAND,SMALLPOX,0,0.0,1947,10
47604,ME,MAINE,SMALLPOX,0,0.0,1947,10
47605,MI,MICHIGAN,SMALLPOX,0,0.0,1947,10
47606,MN,MINNESOTA,SMALLPOX,0,0.0,1947,10
47607,MO,MISSOURI,SMALLPOX,1,0.03,1947,10
47608,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,10
47609,MT,MONTANA,SMALLPOX,0,0.0,1947,10
47610,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,10
47611,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,10
47612,NE,NEBRASKA,SMALLPOX,0,0.0,1947,10
47613,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,10
47614,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,10
47615,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,10
47616,NV,NEVADA,SMALLPOX,0,0.0,1947,10
47617,NY,NEW YORK,SMALLPOX,0,0.0,1947,10
47618,OH,OHIO,SMALLPOX,0,0.0,1947,10
47619,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,10
47620,OR,OREGON,SMALLPOX,0,0.0,1947,10
47621,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,10
47622,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,10
47623,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,10
47624,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,10
47625,TN,TENNESSEE,SMALLPOX,0,0.0,1947,10
47626,TX,TEXAS,SMALLPOX,0,0.0,1947,10
47627,UT,UTAH,SMALLPOX,0,0.0,1947,10
47628,VA,VIRGINIA,SMALLPOX,0,0.0,1947,10
47629,VT,VERMONT,SMALLPOX,0,0.0,1947,10
47630,WA,WASHINGTON,SMALLPOX,0,0.0,1947,10
47631,WI,WISCONSIN,SMALLPOX,0,0.0,1947,10
47632,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,10
47633,WY,WYOMING,SMALLPOX,0,0.0,1947,10
47634,AL,ALABAMA,SMALLPOX,0,0.0,1947,11
47635,AR,ARKANSAS,SMALLPOX,0,0.0,1947,11
47636,AZ,ARIZONA,SMALLPOX,0,0.0,1947,11
47637,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,11
47638,CO,COLORADO,SMALLPOX,1,0.08,1947,11
47639,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,11
47640,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,11
47641,DE,DELAWARE,SMALLPOX,0,0.0,1947,11
47642,FL,FLORIDA,SMALLPOX,0,0.0,1947,11
47643,GA,GEORGIA,SMALLPOX,0,0.0,1947,11
47644,IA,IOWA,SMALLPOX,0,0.0,1947,11
47645,ID,IDAHO,SMALLPOX,0,0.0,1947,11
47646,IL,ILLINOIS,SMALLPOX,1,0.01,1947,11
47647,IN,INDIANA,SMALLPOX,1,0.03,1947,11
47648,KS,KANSAS,SMALLPOX,0,0.0,1947,11
47649,KY,KENTUCKY,SMALLPOX,0,0.0,1947,11
47650,LA,LOUISIANA,SMALLPOX,0,0.0,1947,11
47651,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,11
47652,MD,MARYLAND,SMALLPOX,0,0.0,1947,11
47653,ME,MAINE,SMALLPOX,0,0.0,1947,11
47654,MI,MICHIGAN,SMALLPOX,0,0.0,1947,11
47655,MN,MINNESOTA,SMALLPOX,0,0.0,1947,11
47656,MO,MISSOURI,SMALLPOX,0,0.0,1947,11
47657,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,11
47658,MT,MONTANA,SMALLPOX,0,0.0,1947,11
47659,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,11
47660,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,11
47661,NE,NEBRASKA,SMALLPOX,0,0.0,1947,11
47662,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,11
47663,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,11
47664,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,11
47665,NV,NEVADA,SMALLPOX,0,0.0,1947,11
47666,NY,NEW YORK,SMALLPOX,0,0.0,1947,11
47667,OH,OHIO,SMALLPOX,2,0.03,1947,11
47668,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,11
47669,OR,OREGON,SMALLPOX,0,0.0,1947,11
47670,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,11
47671,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,11
47672,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,11
47673,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,11
47674,TN,TENNESSEE,SMALLPOX,0,0.0,1947,11
47675,TX,TEXAS,SMALLPOX,0,0.0,1947,11
47676,UT,UTAH,SMALLPOX,0,0.0,1947,11
47677,VA,VIRGINIA,SMALLPOX,0,0.0,1947,11
47678,VT,VERMONT,SMALLPOX,0,0.0,1947,11
47679,WA,WASHINGTON,SMALLPOX,0,0.0,1947,11
47680,WI,WISCONSIN,SMALLPOX,0,0.0,1947,11
47681,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,11
47682,WY,WYOMING,SMALLPOX,0,0.0,1947,11
47683,AL,ALABAMA,SMALLPOX,0,0.0,1947,12
47684,AR,ARKANSAS,SMALLPOX,0,0.0,1947,12
47685,AZ,ARIZONA,SMALLPOX,0,0.0,1947,12
47686,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,12
47687,CO,COLORADO,SMALLPOX,0,0.0,1947,12
47688,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,12
47689,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,12
47690,DE,DELAWARE,SMALLPOX,0,0.0,1947,12
47691,FL,FLORIDA,SMALLPOX,0,0.0,1947,12
47692,GA,GEORGIA,SMALLPOX,0,0.0,1947,12
47693,IA,IOWA,SMALLPOX,0,0.0,1947,12
47694,ID,IDAHO,SMALLPOX,0,0.0,1947,12
47695,IL,ILLINOIS,SMALLPOX,0,0.0,1947,12
47696,IN,INDIANA,SMALLPOX,0,0.0,1947,12
47697,KS,KANSAS,SMALLPOX,0,0.0,1947,12
47698,KY,KENTUCKY,SMALLPOX,0,0.0,1947,12
47699,LA,LOUISIANA,SMALLPOX,1,0.04,1947,12
47700,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,12
47701,MD,MARYLAND,SMALLPOX,0,0.0,1947,12
47702,ME,MAINE,SMALLPOX,0,0.0,1947,12
47703,MI,MICHIGAN,SMALLPOX,0,0.0,1947,12
47704,MN,MINNESOTA,SMALLPOX,0,0.0,1947,12
47705,MO,MISSOURI,SMALLPOX,0,0.0,1947,12
47706,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,12
47707,MT,MONTANA,SMALLPOX,0,0.0,1947,12
47708,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,12
47709,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,12
47710,NE,NEBRASKA,SMALLPOX,2,0.16,1947,12
47711,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,12
47712,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,12
47713,NM,NEW MEXICO,SMALLPOX,1,0.17,1947,12
47714,NV,NEVADA,SMALLPOX,0,0.0,1947,12
47715,NY,NEW YORK,SMALLPOX,0,0.0,1947,12
47716,OH,OHIO,SMALLPOX,0,0.0,1947,12
47717,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,12
47718,OR,OREGON,SMALLPOX,0,0.0,1947,12
47719,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,12
47720,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,12
47721,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,12
47722,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,12
47723,TN,TENNESSEE,SMALLPOX,0,0.0,1947,12
47724,TX,TEXAS,SMALLPOX,0,0.0,1947,12
47725,UT,UTAH,SMALLPOX,0,0.0,1947,12
47726,VA,VIRGINIA,SMALLPOX,0,0.0,1947,12
47727,VT,VERMONT,SMALLPOX,0,0.0,1947,12
47728,WA,WASHINGTON,SMALLPOX,0,0.0,1947,12
47729,WI,WISCONSIN,SMALLPOX,0,0.0,1947,12
47730,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,12
47731,WY,WYOMING,SMALLPOX,0,0.0,1947,12
47732,AL,ALABAMA,SMALLPOX,0,0.0,1947,13
47733,AR,ARKANSAS,SMALLPOX,0,0.0,1947,13
47734,AZ,ARIZONA,SMALLPOX,0,0.0,1947,13
47735,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,13
47736,CO,COLORADO,SMALLPOX,0,0.0,1947,13
47737,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,13
47738,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,13
47739,DE,DELAWARE,SMALLPOX,0,0.0,1947,13
47740,FL,FLORIDA,SMALLPOX,0,0.0,1947,13
47741,GA,GEORGIA,SMALLPOX,0,0.0,1947,13
47742,IA,IOWA,SMALLPOX,1,0.04,1947,13
47743,ID,IDAHO,SMALLPOX,0,0.0,1947,13
47744,IL,ILLINOIS,SMALLPOX,0,0.0,1947,13
47745,IN,INDIANA,SMALLPOX,0,0.0,1947,13
47746,KS,KANSAS,SMALLPOX,0,0.0,1947,13
47747,KY,KENTUCKY,SMALLPOX,0,0.0,1947,13
47748,LA,LOUISIANA,SMALLPOX,0,0.0,1947,13
47749,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,13
47750,MD,MARYLAND,SMALLPOX,0,0.0,1947,13
47751,ME,MAINE,SMALLPOX,0,0.0,1947,13
47752,MI,MICHIGAN,SMALLPOX,0,0.0,1947,13
47753,MN,MINNESOTA,SMALLPOX,0,0.0,1947,13
47754,MO,MISSOURI,SMALLPOX,0,0.0,1947,13
47755,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,13
47756,MT,MONTANA,SMALLPOX,0,0.0,1947,13
47757,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,13
47758,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,13
47759,NE,NEBRASKA,SMALLPOX,0,0.0,1947,13
47760,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,13
47761,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,13
47762,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,13
47763,NV,NEVADA,SMALLPOX,0,0.0,1947,13
47764,NY,NEW YORK,SMALLPOX,0,0.0,1947,13
47765,OH,OHIO,SMALLPOX,0,0.0,1947,13
47766,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,13
47767,OR,OREGON,SMALLPOX,0,0.0,1947,13
47768,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,13
47769,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,13
47770,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,13
47771,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,13
47772,TN,TENNESSEE,SMALLPOX,2,0.06,1947,13
47773,TX,TEXAS,SMALLPOX,9,0.12,1947,13
47774,UT,UTAH,SMALLPOX,0,0.0,1947,13
47775,VA,VIRGINIA,SMALLPOX,0,0.0,1947,13
47776,VT,VERMONT,SMALLPOX,0,0.0,1947,13
47777,WA,WASHINGTON,SMALLPOX,0,0.0,1947,13
47778,WI,WISCONSIN,SMALLPOX,0,0.0,1947,13
47779,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,13
47780,WY,WYOMING,SMALLPOX,0,0.0,1947,13
47781,AL,ALABAMA,SMALLPOX,0,0.0,1947,14
47782,AR,ARKANSAS,SMALLPOX,0,0.0,1947,14
47783,AZ,ARIZONA,SMALLPOX,0,0.0,1947,14
47784,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,14
47785,CO,COLORADO,SMALLPOX,0,0.0,1947,14
47786,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,14
47787,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,14
47788,DE,DELAWARE,SMALLPOX,0,0.0,1947,14
47789,FL,FLORIDA,SMALLPOX,0,0.0,1947,14
47790,GA,GEORGIA,SMALLPOX,0,0.0,1947,14
47791,IA,IOWA,SMALLPOX,0,0.0,1947,14
47792,ID,IDAHO,SMALLPOX,0,0.0,1947,14
47793,IL,ILLINOIS,SMALLPOX,0,0.0,1947,14
47794,IN,INDIANA,SMALLPOX,0,0.0,1947,14
47795,KS,KANSAS,SMALLPOX,0,0.0,1947,14
47796,KY,KENTUCKY,SMALLPOX,1,0.04,1947,14
47797,LA,LOUISIANA,SMALLPOX,0,0.0,1947,14
47798,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,14
47799,MD,MARYLAND,SMALLPOX,0,0.0,1947,14
47800,ME,MAINE,SMALLPOX,0,0.0,1947,14
47801,MI,MICHIGAN,SMALLPOX,0,0.0,1947,14
47802,MN,MINNESOTA,SMALLPOX,0,0.0,1947,14
47803,MO,MISSOURI,SMALLPOX,0,0.0,1947,14
47804,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,14
47805,MT,MONTANA,SMALLPOX,0,0.0,1947,14
47806,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,14
47807,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,14
47808,NE,NEBRASKA,SMALLPOX,0,0.0,1947,14
47809,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,14
47810,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,14
47811,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,14
47812,NV,NEVADA,SMALLPOX,0,0.0,1947,14
47813,NY,NEW YORK,SMALLPOX,0,0.0,1947,14
47814,OH,OHIO,SMALLPOX,2,0.03,1947,14
47815,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,14
47816,OR,OREGON,SMALLPOX,0,0.0,1947,14
47817,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,14
47818,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,14
47819,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,14
47820,TN,TENNESSEE,SMALLPOX,0,0.0,1947,14
47821,TX,TEXAS,SMALLPOX,0,0.0,1947,14
47822,UT,UTAH,SMALLPOX,0,0.0,1947,14
47823,VA,VIRGINIA,SMALLPOX,0,0.0,1947,14
47824,VT,VERMONT,SMALLPOX,0,0.0,1947,14
47825,WA,WASHINGTON,SMALLPOX,0,0.0,1947,14
47826,WI,WISCONSIN,SMALLPOX,0,0.0,1947,14
47827,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,14
47828,WY,WYOMING,SMALLPOX,0,0.0,1947,14
47829,AL,ALABAMA,SMALLPOX,0,0.0,1947,15
47830,AR,ARKANSAS,SMALLPOX,0,0.0,1947,15
47831,AZ,ARIZONA,SMALLPOX,0,0.0,1947,15
47832,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,15
47833,CO,COLORADO,SMALLPOX,0,0.0,1947,15
47834,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,15
47835,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,15
47836,DE,DELAWARE,SMALLPOX,0,0.0,1947,15
47837,FL,FLORIDA,SMALLPOX,0,0.0,1947,15
47838,GA,GEORGIA,SMALLPOX,0,0.0,1947,15
47839,IA,IOWA,SMALLPOX,0,0.0,1947,15
47840,ID,IDAHO,SMALLPOX,0,0.0,1947,15
47841,IL,ILLINOIS,SMALLPOX,0,0.0,1947,15
47842,IN,INDIANA,SMALLPOX,1,0.03,1947,15
47843,KS,KANSAS,SMALLPOX,0,0.0,1947,15
47844,KY,KENTUCKY,SMALLPOX,0,0.0,1947,15
47845,LA,LOUISIANA,SMALLPOX,0,0.0,1947,15
47846,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,15
47847,MD,MARYLAND,SMALLPOX,0,0.0,1947,15
47848,ME,MAINE,SMALLPOX,0,0.0,1947,15
47849,MI,MICHIGAN,SMALLPOX,0,0.0,1947,15
47850,MN,MINNESOTA,SMALLPOX,0,0.0,1947,15
47851,MO,MISSOURI,SMALLPOX,0,0.0,1947,15
47852,MS,MISSISSIPPI,SMALLPOX,1,0.05,1947,15
47853,MT,MONTANA,SMALLPOX,0,0.0,1947,15
47854,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,15
47855,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,15
47856,NE,NEBRASKA,SMALLPOX,0,0.0,1947,15
47857,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,15
47858,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,15
47859,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,15
47860,NV,NEVADA,SMALLPOX,0,0.0,1947,15
47861,NY,NEW YORK,SMALLPOX,7,0.05,1947,15
47862,OH,OHIO,SMALLPOX,0,0.0,1947,15
