,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
196,ID,IDAHO,RUBELLA,8,1.16,1966,07
197,IL,ILLINOIS,RUBELLA,104,0.96,1966,07
198,IN,INDIANA,RUBELLA,124,2.48,1966,07
199,KY,KENTUCKY,RUBELLA,132,4.19,1966,07
200,MA,MASSACHUSETTS,RUBELLA,53,0.96,1966,07
201,MD,MARYLAND,RUBELLA,19,0.51,1966,07
202,ME,MAINE,RUBELLA,10,1.0,1966,07
203,MI,MICHIGAN,RUBELLA,91,1.07,1966,07
204,MN,MINNESOTA,RUBELLA,1,0.03,1966,07
205,MT,MONTANA,RUBELLA,1,0.14,1966,07
206,ND,NORTH DAKOTA,RUBELLA,4,0.62,1966,07
207,NH,NEW HAMPSHIRE,RUBELLA,1,0.15,1966,07
208,NY,NEW YORK,RUBELLA,66,0.37,1966,07
209,OH,OHIO,RUBELLA,36,0.35,1966,07
210,OR,OREGON,RUBELLA,37,1.88,1966,07
211,RI,RHODE ISLAND,RUBELLA,3,0.33,1966,07
212,SC,SOUTH CAROLINA,RUBELLA,10,0.4,1966,07
213,TN,TENNESSEE,RUBELLA,84,2.2,1966,07
214,TX,TEXAS,RUBELLA,6,0.06,1966,07
215,UT,UTAH,RUBELLA,4,0.4,1966,07
216,VA,VIRGINIA,RUBELLA,12,0.27,1966,07
217,VT,VERMONT,RUBELLA,5,1.21,1966,07
218,WA,WASHINGTON,RUBELLA,153,5.0,1966,07
219,WI,WISCONSIN,RUBELLA,128,2.99,1966,07
220,WV,WEST VIRGINIA,RUBELLA,63,3.55,1966,07
221,AK,ALASKA,RUBELLA,1,0.37,1966,08
222,AL,ALABAMA,RUBELLA,3,0.09,1966,08
223,AZ,ARIZONA,RUBELLA,83,5.14,1966,08
224,CA,CALIFORNIA,RUBELLA,67,0.36,1966,08
225,CO,COLORADO,RUBELLA,22,1.1,1966,08
226,CT,CONNECTICUT,RUBELLA,40,1.38,1966,08
227,DE,DELAWARE,RUBELLA,1,0.19,1966,08
228,FL,FLORIDA,RUBELLA,25,0.41,1966,08
229,IA,IOWA,RUBELLA,52,1.88,1966,08
230,ID,IDAHO,RUBELLA,8,1.16,1966,08
231,IL,ILLINOIS,RUBELLA,87,0.8,1966,08
232,IN,INDIANA,RUBELLA,54,1.08,1966,08
233,KY,KENTUCKY,RUBELLA,95,3.02,1966,08
234,MA,MASSACHUSETTS,RUBELLA,13,0.23,1966,08
235,MD,MARYLAND,RUBELLA,1,0.03,1966,08
236,ME,MAINE,RUBELLA,9,0.9,1966,08
237,MI,MICHIGAN,RUBELLA,64,0.75,1966,08
238,MN,MINNESOTA,RUBELLA,5,0.14,1966,08
239,MO,MISSOURI,RUBELLA,3,0.07,1966,08
240,MT,MONTANA,RUBELLA,4,0.57,1966,08
241,ND,NORTH DAKOTA,RUBELLA,8,1.24,1966,08
242,NY,NEW YORK,RUBELLA,57,0.32,1966,08
243,OH,OHIO,RUBELLA,37,0.36,1966,08
244,OR,OREGON,RUBELLA,34,1.73,1966,08
245,RI,RHODE ISLAND,RUBELLA,1,0.11,1966,08
246,SC,SOUTH CAROLINA,RUBELLA,4,0.16,1966,08
247,TN,TENNESSEE,RUBELLA,39,1.02,1966,08
248,UT,UTAH,RUBELLA,2,0.2,1966,08
249,VA,VIRGINIA,RUBELLA,33,0.74,1966,08
250,VT,VERMONT,RUBELLA,2,0.48,1966,08
251,WA,WASHINGTON,RUBELLA,93,3.04,1966,08
252,WI,WISCONSIN,RUBELLA,193,4.52,1966,08
253,WV,WEST VIRGINIA,RUBELLA,37,2.08,1966,08
254,AK,ALASKA,RUBELLA,2,0.74,1966,09
255,AL,ALABAMA,RUBELLA,3,0.09,1966,09
256,AZ,ARIZONA,RUBELLA,114,7.06,1966,09
257,CA,CALIFORNIA,RUBELLA,124,0.66,1966,09
258,CO,COLORADO,RUBELLA,15,0.75,1966,09
